words,links,capital_words,spam_word_count,is_spam
892,7,24,8,1
243,1,3,0,0
283,0,2,1,0
478,0,9,9,1
314,0,2,0,0
252,9,29,3,1
333,4,3,3,1
200,2,6,0,0
835,8,6,8,1
294,1,2,1,0
668,9,1,5,1
904,3,23,7,1
925,3,23,2,1
381,3,24,3,1
92,1,2,0,0
936,3,29,4,1
983,2,11,0,1
82,5,2,2,0
159,5,0,2,0
35,2,2,5,0
169,1,0,6,0
951,0,14,5,1
98,8,16,2,1
336,4,2,0,0
41,0,1,2,0
875,8,9,0,1
110,9,12,0,1
80,4,19,6,1
122,8,12,8,1
412,1,2,2,0
943,10,24,9,1
316,8,11,8,1
505,4,25,6,1
769,3,2,6,1
30,1,2,2,0
164,1,3,1,0
935,9,8,3,1
637,8,26,10,1
56,0,0,5,0
30,0,1,1,0
550,4,19,4,1
421,10,9,3,1
127,0,2,2,0
160,2,1,2,0
189,0,3,1,0
138,0,3,2,0
288,5,0,1,0
20,3,2,1,0
751,6,1,9,1
91,3,3,0,0
149,3,5,10,1
154,4,28,7,1
206,0,0,4,0
430,7,5,9,1
487,5,6,3,1
230,2,3,1,0
118,3,23,1,1
935,5,28,5,1
922,6,7,10,1
832,8,2,10,1
208,7,14,10,1
906,7,6,1,1
754,2,12,5,1
427,3,16,6,1
510,2,27,3,1
237,3,0,6,0
870,3,20,3,1
150,5,3,2,0
102,2,5,10,1
582,8,24,5,1
418,0,2,2,0
162,5,23,8,1
70,2,5,2,0
141,0,12,4,1
366,2,1,1,0
45,0,0,5,0
434,8,20,9,1
602,8,28,6,1
889,9,11,6,1
177,10,11,7,1
174,1,3,2,0
959,9,28,10,1
996,8,7,7,1
292,1,2,1,0
34,1,2,0,0
87,0,3,0,0
161,5,27,6,1
242,0,5,1,0
203,2,2,0,0
273,2,0,0,0
343,5,5,0,0
900,3,13,3,1
796,3,25,2,1
72,2,1,2,0
119,2,3,1,0
117,2,24,5,1
92,1,1,1,0
445,0,3,2,0
297,1,3,2,0
67,1,3,1,0
521,4,14,8,1
878,5,4,5,1
375,5,24,1,1
670,2,13,10,1
475,1,7,7,1
430,8,16,3,1
356,2,1,8,1
73,3,1,0,0
52,2,3,0,0
134,5,1,0,0
56,2,2,1,0
216,1,0,1,0
198,2,0,0,0
69,0,3,1,0
636,9,9,6,1
988,8,13,10,1
138,5,14,0,1
